[meta]
name=Basic Tutorial
author=Claude

[level:main]
width=11;height=11
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=11;y=0;tile=wall
x=0;y=1;tile=wall
x=11;y=1;tile=wall
x=0;y=2;tile=wall
x=3;y=2;entities=crate:id=crate_492
x=11;y=2;tile=wall
x=0;y=3;tile=wall
x=11;y=3;tile=wall
x=0;y=4;tile=wall
x=2;y=4;entities=player:id=player
x=8;y=4;tile=goal
x=11;y=4;tile=wall
x=0;y=5;tile=wall
x=6;y=5;tile=wall
x=11;y=5;tile=wall
x=0;y=6;tile=wall
x=6;y=6;tile=wall
x=11;y=6;tile=wall
x=0;y=7;tile=wall
x=7;y=7;entities=nested:id=nested_6429
x=11;y=7;tile=wall
x=0;y=8;tile=wall
x=11;y=8;tile=wall
x=0;y=9;tile=wall
x=1;y=9;tile=wall
x=2;y=9;tile=wall
x=3;y=9;tile=wall
x=4;y=9;tile=wall
x=5;y=9;tile=wall
x=6;y=9;tile=wall
x=7;y=9;tile=wall
x=8;y=9;tile=wall
x=9;y=9;tile=wall
x=10;y=9;tile=wall
x=11;y=9;tile=wall

[level:inner]
width=6;height=6
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=0;y=1;tile=wall
x=1;y=1;tile=floor
x=2;y=1;tile=floor
x=3;y=1;tile=floor
x=4;y=1;tile=floor
x=5;y=1;tile=wall
x=0;y=2;tile=wall
x=1;y=2;tile=floor
x=2;y=2;tile=floor;entities=player:id=inner_player
x=3;y=2;tile=floor;entities=crate:id=inner_crate
x=4;y=2;tile=floor
x=5;y=2;tile=wall
x=0;y=3;tile=wall
x=1;y=3;tile=floor
x=2;y=3;tile=floor
x=3;y=3;tile=floor
x=4;y=3;tile=goal
x=5;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=floor
x=2;y=4;tile=floor
x=3;y=4;tile=floor
x=4;y=4;tile=floor
x=5;y=4;tile=wall
x=0;y=5;tile=wall
x=1;y=5;tile=wall
x=2;y=5;tile=floor
x=3;y=5;tile=wall
x=4;y=5;tile=wall
x=5;y=5;tile=wall

[meta]
name=Nested Delivery
author=Claude

[level:main]
width=10;height=8
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=0;y=1;tile=wall
x=9;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=3;y=2;entities=crate:id=crate1
x=9;y=2;tile=wall
x=0;y=3;tile=wall
x=9;y=3;tile=wall
x=0;y=4;tile=wall
x=9;y=4;tile=wall
x=0;y=5;tile=wall
x=6;y=5;entities=nested:id=nest1:ref=inside
x=9;y=5;tile=wall
x=0;y=6;tile=wall
x=9;y=6;tile=wall
x=0;y=7;tile=wall
x=1;y=7;tile=wall
x=2;y=7;tile=wall
x=3;y=7;tile=wall
x=4;y=7;tile=wall
x=5;y=7;tile=wall
x=6;y=7;tile=wall
x=7;y=7;tile=wall
x=8;y=7;tile=wall
x=9;y=7;tile=wall

[level:inside]
width=5;height=5
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=0;y=1;tile=wall
x=4;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;tile=goal
x=4;y=2;tile=wall
x=0;y=3;tile=wall
x=4;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=wall
x=2;y=4;tile=floor
x=3;y=4;tile=wall
x=4;y=4;tile=wall
[meta]
name=Box Swap
author=Claude

[level:main]
width=12;height=12
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=11;y=0;tile=wall
x=0;y=1;tile=wall
x=11;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=3;y=2;entities=crate:id=shared_box
x=9;y=2;tile=goal
x=11;y=2;tile=wall
x=0;y=3;tile=wall
x=11;y=3;tile=wall
x=0;y=4;tile=wall
x=3;y=4;tile=floor
x=4;y=4;tile=floor
x=5;y=4;tile=floor
x=6;y=4;tile=wall
x=7;y=4;tile=floor
x=11;y=4;tile=wall
x=0;y=5;tile=wall
x=3;y=5;tile=floor
x=4;y=5;tile=wall
x=5;y=5;tile=floor
x=6;y=5;tile=floor;entities=nested:id=nested_room:ref=swap_room
x=7;y=5;tile=floor
x=11;y=5;tile=wall
x=0;y=6;tile=wall
x=5;y=6;tile=floor
x=6;y=6;tile=floor
x=7;y=6;tile=floor
x=9;y=6;tile=wall
x=11;y=6;tile=wall
x=0;y=7;tile=wall
x=11;y=7;tile=wall
x=0;y=8;tile=wall
x=11;y=8;tile=wall
x=0;y=9;tile=wall
x=11;y=9;tile=wall
x=1;y=10;tile=wall
x=2;y=10;tile=wall
x=3;y=10;tile=wall
x=4;y=10;tile=wall
x=5;y=10;tile=wall
x=7;y=10;tile=wall
x=8;y=10;tile=wall
x=9;y=10;tile=wall
x=10;y=10;tile=wall
x=11;y=10;tile=wall
x=0;y=11;tile=wall
x=1;y=11;tile=wall
x=2;y=11;tile=wall
x=3;y=11;tile=wall
x=4;y=11;tile=wall
x=5;y=11;tile=wall
x=7;y=11;tile=wall
x=8;y=11;tile=wall
x=9;y=11;tile=wall
x=10;y=11;tile=wall
x=11;y=11;tile=wall

[level:swap_room]
width=6;height=6
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=0;y=1;tile=wall
x=5;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=crate:id=shared_box
x=3;y=2;tile=goal
x=5;y=2;tile=wall
x=0;y=3;tile=wall
x=5;y=3;tile=wall
x=0;y=4;tile=wall
x=5;y=4;tile=wall
x=0;y=5;tile=wall
x=1;y=5;tile=wall
x=2;y=5;tile=floor
x=3;y=5;tile=wall
x=4;y=5;tile=wall
x=5;y=5;tile=wall

[meta]
name=Infinite Mirror
author=Claude

[level:fractal]
width=9;height=9
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=0;y=1;tile=wall
x=8;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=8;y=2;tile=wall
x=0;y=3;tile=wall
x=3;y=3;entities=crate:id=box1
x=8;y=3;tile=wall
x=0;y=4;tile=wall
x=6;y=4;tile=goal
x=8;y=4;tile=wall
x=0;y=5;tile=wall
x=8;y=5;tile=wall
x=0;y=6;tile=wall
x=5;y=6;entities=nested:id=mirror:ref=fractal
x=8;y=6;tile=wall
x=0;y=7;tile=wall
x=8;y=7;tile=wall
x=0;y=8;tile=wall
x=1;y=8;tile=wall
x=2;y=8;tile=wall
x=3;y=8;tile=wall
x=4;y=8;tile=wall
x=5;y=8;tile=wall
x=6;y=8;tile=wall
x=7;y=8;tile=wall
x=8;y=8;tile=wall
[meta]
name=Double Nest
author=Claude

[level:main]
width=14;height=10
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=11;y=0;tile=wall
x=12;y=0;tile=wall
x=13;y=0;tile=wall
x=0;y=1;tile=wall
x=13;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=13;y=2;tile=wall
x=0;y=3;tile=wall
x=3;y=3;entities=crate:id=box1
x=6;y=3;tile=goal
x=10;y=3;entities=crate:id=box2
x=13;y=3;tile=wall
x=0;y=4;tile=wall
x=13;y=4;tile=wall
x=0;y=5;tile=wall
x=4;y=5;entities=nested:id=left_room:ref=left_room
x=9;y=5;entities=nested:id=right_room:ref=right_room
x=13;y=5;tile=wall
x=0;y=6;tile=wall
x=13;y=6;tile=wall
x=0;y=7;tile=wall
x=13;y=7;tile=wall
x=0;y=8;tile=wall
x=13;y=8;tile=wall
x=0;y=9;tile=wall
x=1;y=9;tile=wall
x=2;y=9;tile=wall
x=3;y=9;tile=wall
x=4;y=9;tile=wall
x=5;y=9;tile=wall
x=6;y=9;tile=wall
x=7;y=9;tile=wall
x=8;y=9;tile=wall
x=9;y=9;tile=wall
x=10;y=9;tile=wall
x=11;y=9;tile=wall
x=12;y=9;tile=wall
x=13;y=9;tile=wall

[level:left_room]
width=5;height=5
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=0;y=1;tile=wall
x=4;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;tile=goal
x=4;y=2;tile=wall
x=0;y=3;tile=wall
x=4;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=wall
x=2;y=4;tile=floor
x=3;y=4;tile=wall
x=4;y=4;tile=wall

[level:right_room]
width=5;height=5
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=0;y=1;tile=wall
x=4;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;tile=goal
x=4;y=2;tile=wall
x=0;y=3;tile=wall
x=4;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=wall
x=2;y=4;tile=floor
x=3;y=4;tile=wall
x=4;y=4;tile=wall
[meta]
name=Deep Recursion
author=Claude

[level:outer]
width=11;height=11
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=0;y=1;tile=wall
x=10;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=player:id=player
x=10;y=2;tile=wall
x=0;y=3;tile=wall
x=3;y=3;entities=crate:id=box_outer
x=7;y=3;tile=goal
x=10;y=3;tile=wall
x=0;y=4;tile=wall
x=10;y=4;tile=wall
x=0;y=5;tile=wall
x=10;y=5;tile=wall
x=0;y=6;tile=wall
x=6;y=6;entities=nested:id=middle:ref=middle
x=10;y=6;tile=wall
x=0;y=7;tile=wall
x=10;y=7;tile=wall
x=0;y=8;tile=wall
x=10;y=8;tile=wall
x=0;y=9;tile=wall
x=10;y=9;tile=wall
x=0;y=10;tile=wall
x=1;y=10;tile=wall
x=2;y=10;tile=wall
x=3;y=10;tile=wall
x=4;y=10;tile=wall
x=5;y=10;tile=wall
x=6;y=10;tile=wall
x=7;y=10;tile=wall
x=8;y=10;tile=wall
x=9;y=10;tile=wall
x=10;y=10;tile=wall

[level:middle]
width=7;height=7
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=0;y=1;tile=wall
x=6;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;entities=crate:id=box_middle
x=4;y=2;tile=goal
x=6;y=2;tile=wall
x=0;y=3;tile=wall
x=6;y=3;tile=wall
x=0;y=4;tile=wall
x=4;y=4;entities=nested:id=inner:ref=inner
x=6;y=4;tile=wall
x=0;y=5;tile=wall
x=6;y=5;tile=wall
x=0;y=6;tile=wall
x=1;y=6;tile=wall
x=2;y=6;tile=wall
x=3;y=6;tile=floor
x=4;y=6;tile=wall
x=5;y=6;tile=wall
x=6;y=6;tile=wall

[level:inner]
width=5;height=5
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=0;y=1;tile=wall
x=4;y=1;tile=wall
x=0;y=2;tile=wall
x=2;y=2;tile=goal
x=4;y=2;tile=wall
x=0;y=3;tile=wall
x=4;y=3;tile=wall
x=0;y=4;tile=wall
x=1;y=4;tile=wall
x=2;y=4;tile=floor
x=3;y=4;tile=wall
x=4;y=4;tile=wall
[meta]
name=True Infinite Recursion
author=Claude

[level:fractal]
width=11;height=11
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=floor
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=0;y=1;tile=floor
x=1;y=1;tile=floor
x=2;y=1;tile=floor
x=3;y=1;tile=floor
x=4;y=1;tile=floor
x=5;y=1;tile=floor
x=6;y=1;tile=floor
x=7;y=1;tile=floor
x=8;y=1;tile=wall
x=9;y=1;tile=floor
x=10;y=1;tile=floor
x=0;y=2;tile=wall
x=1;y=2;tile=floor
x=2;y=2;tile=floor;entities=player:id=player
x=3;y=2;tile=floor
x=4;y=2;tile=floor
x=5;y=2;tile=floor
x=6;y=2;tile=floor
x=7;y=2;tile=floor
x=8;y=2;tile=floor
x=9;y=2;tile=floor
x=10;y=2;tile=floor
x=0;y=3;tile=wall
x=1;y=3;tile=floor
x=2;y=3;tile=floor
x=3;y=3;tile=floor
x=4;y=3;tile=floor;entities=crate:id=box1
x=5;y=3;tile=floor
x=6;y=3;tile=floor
x=7;y=3;tile=floor
x=8;y=3;tile=floor
x=9;y=3;tile=floor
x=10;y=3;tile=floor
x=0;y=4;tile=wall
x=1;y=4;tile=floor
x=2;y=4;tile=floor
x=3;y=4;tile=floor
x=4;y=4;tile=floor
x=5;y=4;tile=floor
x=6;y=4;tile=floor
x=7;y=4;tile=goal
x=8;y=4;tile=floor
x=9;y=4;tile=floor
x=10;y=4;tile=floor
x=0;y=5;tile=wall
x=1;y=5;tile=floor
x=2;y=5;tile=floor
x=3;y=5;tile=floor
x=4;y=5;tile=floor
x=5;y=5;tile=floor
x=6;y=5;tile=floor
x=7;y=5;tile=floor
x=8;y=5;tile=floor
x=9;y=5;tile=floor
x=10;y=5;tile=floor
x=0;y=6;tile=wall
x=1;y=6;tile=floor
x=2;y=6;tile=floor
x=3;y=6;tile=floor
x=4;y=6;tile=floor
x=5;y=6;tile=floor
x=6;y=6;tile=floor;entities=nested:id=mirror:ref=fractal
x=7;y=6;tile=floor
x=8;y=6;tile=floor
x=9;y=6;tile=floor
x=10;y=6;tile=floor
x=0;y=7;tile=wall
x=1;y=7;tile=floor
x=2;y=7;tile=floor
x=3;y=7;tile=floor
x=4;y=7;tile=floor
x=5;y=7;tile=wall
x=6;y=7;tile=floor
x=7;y=7;tile=floor
x=8;y=7;tile=floor
x=9;y=7;tile=floor
x=10;y=7;tile=floor
x=0;y=8;tile=wall
x=1;y=8;tile=floor
x=2;y=8;tile=floor
x=3;y=8;tile=floor
x=4;y=8;tile=floor
x=5;y=8;tile=floor
x=6;y=8;tile=floor
x=7;y=8;tile=floor
x=8;y=8;tile=floor
x=9;y=8;tile=floor
x=10;y=8;tile=floor
x=0;y=9;tile=wall
x=1;y=9;tile=floor
x=2;y=9;tile=floor
x=3;y=9;tile=floor
x=4;y=9;tile=floor
x=5;y=9;tile=floor
x=6;y=9;tile=floor
x=7;y=9;tile=floor
x=8;y=9;tile=floor
x=9;y=9;tile=floor
x=10;y=9;tile=floor
x=0;y=10;tile=wall
x=1;y=10;tile=wall
x=2;y=10;tile=wall
x=3;y=10;tile=wall
x=4;y=10;tile=wall
x=5;y=10;tile=floor
x=6;y=10;tile=wall
x=7;y=10;tile=wall
x=8;y=10;tile=wall
x=9;y=10;tile=wall
x=10;y=10;tile=wall

[meta]
name=New Level Pack
author=Author

[level:main]
width=16;height=12
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall
x=11;y=0;tile=wall
x=12;y=0;tile=wall
x=13;y=0;tile=wall
x=14;y=0;tile=wall
x=15;y=0;tile=wall
x=0;y=1;tile=wall
x=15;y=1;tile=wall
x=0;y=2;tile=wall
x=15;y=2;tile=wall
x=0;y=3;tile=wall
x=4;y=3;entities=player:id=player
x=15;y=3;tile=wall
x=0;y=4;tile=wall
x=15;y=4;tile=wall
x=0;y=5;tile=wall
x=15;y=5;tile=wall
x=0;y=6;tile=wall
x=8;y=6;entities=player:id=player
x=15;y=6;tile=wall
x=0;y=7;tile=wall
x=15;y=7;tile=wall
x=0;y=8;tile=wall
x=15;y=8;tile=wall
x=0;y=9;tile=wall
x=15;y=9;tile=wall
x=0;y=10;tile=wall
x=15;y=10;tile=wall
x=0;y=11;tile=wall
x=1;y=11;tile=wall
x=2;y=11;tile=wall
x=3;y=11;tile=wall
x=4;y=11;tile=wall
x=5;y=11;tile=wall
x=6;y=11;tile=wall
x=7;y=11;tile=wall
x=8;y=11;tile=wall
x=9;y=11;tile=wall
x=10;y=11;tile=wall
x=11;y=11;tile=wall
x=12;y=11;tile=wall
x=13;y=11;tile=wall
x=14;y=11;tile=wall
x=15;y=11;tile=wall

# Example level pack in the new CSV format
# This demonstrates the new level format with multiple sublevels

[meta]
name=Example Level Pack
author=Claude
width=16
height=12

[level:main]
# Main level with walls, goals, player, and crates
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall
x=6;y=0;tile=wall
x=7;y=0;tile=wall
x=8;y=0;tile=wall
x=9;y=0;tile=wall
x=10;y=0;tile=wall

# Bottom wall
x=0;y=7;tile=wall
x=1;y=7;tile=wall
x=2;y=7;tile=wall
x=3;y=7;tile=wall
x=4;y=7;tile=wall
x=5;y=7;tile=wall
x=6;y=7;tile=wall
x=7;y=7;tile=wall
x=8;y=7;tile=wall
x=9;y=7;tile=wall
x=10;y=7;tile=wall

# Left and right walls
x=0;y=1;tile=wall
x=0;y=2;tile=wall
x=0;y=3;tile=wall
x=0;y=4;tile=wall
x=0;y=5;tile=wall
x=0;y=6;tile=wall
x=10;y=1;tile=wall
x=10;y=2;tile=wall
x=10;y=3;tile=wall
x=10;y=4;tile=wall
x=10;y=5;tile=wall
x=10;y=6;tile=wall

# Player
x=2;y=3;entities=player:id=player

# Crates
x=4;y=3;entities=crate:id=crate1
x=4;y=4;entities=crate:id=crate2

# Goals
x=7;y=3;tile=goal
x=7;y=4;tile=goal

[level:sublevel1]
width=6;height=6
# A smaller nested level
x=0;y=0;tile=wall
x=1;y=0;tile=wall
x=2;y=0;tile=wall
x=3;y=0;tile=wall
x=4;y=0;tile=wall
x=5;y=0;tile=wall

x=0;y=5;tile=wall
x=1;y=5;tile=wall
x=2;y=5;tile=wall
x=3;y=5;tile=wall
x=4;y=5;tile=wall
x=5;y=5;tile=wall

x=0;y=1;tile=wall
x=0;y=2;tile=wall
x=0;y=3;tile=wall
x=0;y=4;tile=wall
x=5;y=1;tile=wall
x=5;y=2;tile=wall
x=5;y=3;tile=wall
x=5;y=4;tile=wall

x=2;y=2;entities=player:id=player2
x=3;y=2;entities=crate:id=crate3
x=4;y=2;tile=goal
